abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
s.,"MKS Trzebinia-Siersza - Iskra Klecza Dolna (s. 16), Niwa Nowa Wieś - Przeciszovia (<mask> 16), Orzeł Balin - Hutnik (s. 16).  Klasa okręgowa Kraków, gr. I:  Jutrzenka Giebułtów",sobota,sobota,"tensor([[   352,  12016,   1830,   1043,  59141,    262,    264,    399,  26103,
            745,    259,    264,   2485,   9008,    412,  65356,    262,  15801,
            377,    274,    263,    260,    799,    506,   2106,    969,   6928,
            262,    564,  61980,    259,    264,  18885, 227359,  60041,    274,
           2709,  55114,    669,    799,    506,   3294,   1043,   2898,  18623,
            272,    259,    264,  64467,   2633,    274,    263,    260,    799,
            483,  77013,    262,  81043, 222012,    262,    259,  76881,    261,
           4044,    260,    336,    267,   2887, 141880,   9769,   2827,  76808,
           2898,  42275,      1]])","tensor([[  259, 41784,   262,     1]])"
s.,"MKS Trzebinia-Siersza - Iskra Klecza Dolna (s. 16), Niwa Nowa Wieś - Przeciszovia (<mask> 16), Orzeł Balin - Hutnik (s. 16).  Klasa okręgowa Kraków, gr. I:  Jutrzenka Giebułtów",sobota,sobota,"tensor([[   352,  12016,   1830,   1043,  59141,    262,    264,    399,  26103,
            745,    259,    264,   2485,   9008,    412,  65356,    262,  15801,
            377,    274,    263,    260,    799,    506,   2106,    969,   6928,
            262,    564,  61980,    259,    264,  18885, 227359,  60041,    274,
           2709,  55114,    669,    799,    506,   3294,   1043,   2898,  18623,
            272,    259,    264,  64467,   2633,    274,    263,    260,    799,
            483,  77013,    262,  81043, 222012,    262,    259,  76881,    261,
           4044,    260,    336,    267,   2887, 141880,   9769,   2827,  76808,
           2898,  42275,      1]])","tensor([[  259, 41784,   262,     1]])"
w.,"Wniebowzięcia zauważamy od II w. aż do niezwykle aktywnego ruchu na przełomie XIX-XX <mask> Pius XII, po konsultacjach, przekonany o jednomyślności w Kościele na ten temat,",wieku,wiek,"tensor([[   564,   1145,  63861,    360, 149355, 122210,  71227,   1813,    682,
           2052,    414,    260,    259,  17357,    342,    716,  11528,  45175,
          68285,   5663,  56625,    273,    294, 172035, 135983,    259,  25990,
            264,  17397,   1042,  55114,    669,    363,   6714,  50504,    261,
            485,  38106, 136407,    261,  90718,   5557,    259,    268,   7944,
          45769,  14068,    414,    259,  95557,   1094,    294,   3034,  21334,
            261,      1]])","tensor([[1968,  662,    1]])"
g.,"(zakończenie programu g. 1)  Kościół św. Franciszka z Asyżu i Piotra z Alkantary <mask> 19 - koncert muzyki klasycznej w ramach ' Nocy kościołów'  20.06, SOBOTA korty ziemne",godzina,godzina,"tensor([[   274,    745,  45478,   2909,  31883,    259,    318,    260,   7151,
            259,  95557,  17311,  76512,    260,  42650,  18808,    397, 127499,
          46392,    259,    266,  65124,    262,    397,   1151,  19290,   3137,
           1042,  55114,    669,    963,    259,    264,  19008,  69273,    266,
          11573,  83684,    414,  15154,    697,    259,    277,    653,   2888,
            259,  28189,    268,  22575,    277,   3140,  84412,    259, 133732,
          40025,   8761,    276,  41557,    405,      1]])","tensor([[29324,   262,     1]])"
T. m.in.,"w polskim więzieniu wyrok, którego nie przewiduje nasz kodeks karny. Obok Jakuba <mask> Adam G., polski Rom, za zabójstwo kobiety w Belgii odbywa karę 20 lat więzienia,",T.  między innymi,T.  między innymi,"tensor([[   414,    259,  53171,    282, 169551,    360,  85404,   1628,  15139,
            261,    259,   1743,   1796,    716, 125450,    285,   1466,    259,
         108141,    675,  55130,   2050,    680,    260,   3886,    925,  72654,
            262,   1042,  55114,    669,  12527,    489,    260,    261,    259,
          53171,   9470,    261,    466,    466,    316,   9972,  40709,  32750,
            276,    414,  27936,    266,    682,  97333,   2050,   1241,    628,
            283,    270, 169551,   1383,   3631,    261,      1]])","tensor([[  366,   260, 47485,   281, 17981,     1]])"
j.,"Schellenberga, (Warszawa: Szefostwo Wojskowej Służby Wewnętrznej, 1960) (przekład z <mask> angielskiego). Są również fotokopie kart inwentarzowych Gestapo Ciechanów dot. członków",języka,język,"tensor([[204767,    280,  34305,    262,    261,    274,  49235,    263,  79265,
            267,   9580,  46186,  40709,  49486,    263,  99981,    320, 211261,
           1027,    564,  51115,   1057,    261,  24092,    271,    274,  76904,
           8789,    397,   1042,  55114,    669,    259,  92373,   1796,    483,
            320,    761,  10396,   8190,   2905,  65435,    265,   9530,    281,
          12640,  61312,   4579,  83106,  21478,  80978,  16173,   1174,  33054,
            260,  71610,  50132,      1]])","tensor([[  259, 35766,   479,     1]])"
h.,"trwania burz może spaść do 40 mm deszczu, a porywy wiatru mogą osiągnąć prędkość 80 km/<mask> PODOBAŁO SIĘ? PODZIEL SIĘ NA FACEBOOKU",godzinę,godzina,"tensor([[   534,  41922,  12355,    360,    259,   4123,    265,  10146,  10442,
            342,   1251,   2062,    269, 147902,    261,    259,    262,    519,
         162206,    259,  91216,    737,  11851,    761,    259,    337,  89793,
          34776,    259,  72527,    285,  60413,   2295,   1006,    275,   2709,
          55114,    669,  75749,  98090, 109930,  14022,  39125,    291,  16410,
         113639,    547,  14022,  39125,   4677,    259, 167921,    806,      1]])","tensor([[29324,  1241,     1]])"
Re.,"USA dojdzie do recesji, to będzie ona łagodna – uważa Arun Raha, ekonomista Swiss <mask> Pierwsze reakcje inwestorów giełdowych wskazywały, że uwierzyli w siłę amerykańskiej",Re.,Re.,"tensor([[  4208,    342,  99356,    342,   9936,    263,    976,    261,    288,
            330,   6324,    351,    262,    259,   4005,  20922,    377,    322,
            259,    273,  71227,    259, 200448,  44111,    261,  10574,   1208,
          53155,   1042,  55114,    669,  23632,  18969, 109264,    608, 137862,
         102555,    718,  43647,    285,   4579,    259,  53236,    276, 102256,
            261,   1810,    259,    273, 150363,    494,    414,    395,  43871,
            259, 131240,  12476,      1]])","tensor([[788, 260,   1]])"
kul.,"śmieci, krzyczeli: ""Precz z Latin King"" i ""Zabijemy ich"". Policja użyła gumowych <mask> Nie poinformowano, czy w niedzielę byli ranni. Na miejsce zdarzenia skierowano karetki",kul.,kul.,"tensor([[   259, 121359,    266,    261,    259,  89299,  23784,    494,    267,
            313,  17457,   2268,    397,  28302,   9257,    311,    259,    266,
            313,    997,  10711, 109617,   1356,   1191,  59226,    462,  27377,
           4005,  38308,   4579,   1042,  55114,    669,   4383,    485,  34990,
          83381,    261,   5598,    414,    716,  44196,   1241,    259,  57729,
          74203,    266,    260,    727,   8401,    265,  33143,  30473,    259,
         138801,  83381,    427, 219428,      1]])","tensor([[12369,   260,     1]])"
h.,"rozkładu. A zatem średnia szybkość, z jaką się porusza, wynosi nieco ponad 54 km/<mask> To prędkość skutera albo ambitnego kolarza. 'The Rocket' - pierwsza serio lokomotywa",godzinę,godzina,"tensor([[  2392,   8789,    273,    260,    298,    466,   3280,  58388,    262,
          56315,  60413,    261,    397,   1801,    761,    947,    519, 113841,
            261,   1628,  37896,    716,    771,    259,  39461,   7013,   1006,
            275,   2709,  55114,    669,    926,    259,  72527,    285,  60413,
          92800,    571,  35806,    259,  90594,   5663,   8405, 161467,    260,
            259,    277,   2009, 111617,    277,    259,    264,  13615,    262,
          44669,  36598, 109163,    262,      1]])","tensor([[29324,  1241,     1]])"
p.o. dyr.,"zachowano wszystkie ustawowe procedury"" - czytamy w oświadczeniu Ryszarda Strausa <mask> Sekretariatu Pełnomocnika Rządu ds. Informacji Europejskiej. T w nazwie agencji",pełniącego obowiązki dyrektora,pełniący obowiązki dyrektor,"tensor([[102181,   2031,    259,  34654,  31952,   3407,  57006,    276,    311,
            259,    264,  67597,   1813,    414,    259,    268, 105310,    273,
         140649, 110882,    262, 116490,    263,    262,   1042,  55114,    669,
            259, 149365,   5410,    363, 162807,    268, 129701,    479,    531,
         142573,   1176,    331,    263,    260,    259, 220627,    266,   3970,
          70070,    260,    366,    414,  36940,   8614,    593, 108217,      1]])","tensor([[   259,  18414, 103592,    259,  31233,    650,   7730, 185359,      1]])"
w.,"apelowali o to wszyscy kolejni papieże, począwszy od Pawła VI. W drugiej połowie XX <mask> już nie tylko przykazanie „nie zabijaj”, ale i doświadczenie dwóch wojen światowych",wieku,wiek,"tensor([[ 38554,  85574,    259,    268,    288,  99566,   2888,  14297,    516,
          26188,   8190,    265,    261,    485,  37888,  83828,    682,  37680,
           4005,   8755,    260,    564,   4911,  12476,    485, 105845,  20944,
           1042,  55114,    669,   1218,   1610,    716,    259,   7458,   2890,
         192575,    265,    565,   1145,  71707, 123932,   1206,   1281,    259,
            266,    342,  75597,    331,  39574,    697,  46285,    278,  21902,
           4579,      1]])","tensor([[1968,  662,    1]])"
p.,"przykłady niewłaściwego wykorzystywania złego prawa, jak przypadek p. R. Kluski, <mask> Szlanty czy panów Reya i Jeziernego z Krakowa, a także p R. Krauzego, to wierzchołek",pana,pan,"tensor([[  2890,   8789,    276,    716,  50517,  55155,  34095,  60259,    397,
          49152,    259,  48601,    261,   1801,  10207,    592,    421,    260,
            531,    260,  95865,   2764,    261,   1042,  55114,    669,   9580,
          28691,    276,   5598,   5242,   1174,  29558,    262,    259,    266,
           1170,  52903,   5663,    397,  71419,    262,    261,    259,    262,
            756,   3598,    421,    531,    260, 127140,  75945,    261,    288,
          94018,    360,   7238,  97782,      1]])","tensor([[10862,     1]])"
ś.,"Klasa okręgowa Kraków, grupa I: Garbarnia II - Grębałowianka (<mask> 11), IKS Olkusz - Prądniczanka (ś. 16), Słomniczanka - Akademia Piłkarska 2011 Zabierzów",środa,środa,"tensor([[ 77013,    262,  81043, 222012,    262,    259,  76881,    261,   4958,
            262,    336,    267, 102901, 148316,   2052,    259,    264,   6282,
         103151,    262, 167945,  14145,    274,   2709,  55114,    669,    730,
            506,    259, 178260,   7142,    662,   2781,    259,    264,   7672,
          55330, 183117,   9769,    274,   3376,    260,    799,    506, 171728,
            282, 183117,   9769,    259,    264,  36469,    262,   4951,  63786,
          86082,    981,   1515,  50336,   1174,      1]])","tensor([[21951,   262,     1]])"
h.,"2009 r. Passat CC TDI spala ok. 5,8 l. oleju napędowego i rozwija prędkość 213 km/<mask> CC TSI, zużywający 7,6 l. benzyny i osiąga prędkość 222 km/h. Prędkość Passata CC",godzinę,godzina,"tensor([[  1199,    259,    286,    260,  63423,    270,  24368,    259,  22264,
          34728,    262,   5412,    260, 149960,    259,    280,    260,  31465,
            273,    294, 136483,   8704,    259,    266,  66131,    462,    259,
          72527,    285,  60413,  65373,   1006,    275,   2709,  55114,    669,
          24368,  98137,    261,    760,  95150,  52610,   6469,    451,    259,
            280,    260,   4158, 147376,    259,    266,    259,    337,  89793,
            262,    259,  72527,    285,  60413,  53945,   1006,    275,    334,
            260,   7672, 123708,  60413,  63423,    422,  24368,      1]])","tensor([[29324,  1241,     1]])"
s.,"Klecza Dolna (s. 16), Niwa Nowa Wieś - Przeciszovia (s. 16), Orzeł Balin - Hutnik (<mask> 16).  Klasa okręgowa Kraków, gr. I:  Jutrzenka Giebułtów - Bronowianka (s. 15),",sobota,sobota,"tensor([[   412,  65356,    262,  15801,    377,    274,    263,    260,    799,
            506,   2106,    969,   6928,    262,    564,  61980,    259,    264,
          18885, 227359,  60041,    274,    263,    260,    799,    506,   3294,
           1043,   2898,  18623,    272,    259,    264,  64467,   2633,    274,
           2709,  55114,    669,    799,    483,  77013,    262,  81043, 222012,
            262,    259,  76881,    261,   4044,    260,    336,    267,   2887,
         141880,   9769,   2827,  76808,   2898,  42275,    259,    264,  44869,
          20348,  14145,    274,    263,    260,    670,    506,      1]])","tensor([[  259, 41784,   262,     1]])"
IV. Liga.,"Rutkowski), Zieliński, Buczyński, Owsianikow 1, Topolewski, Bogdański (46 Góral). <mask> Cuiavia Inowrocław – Promień Kowalewo Pomorskie 2:0 -Do Inowrocławia pojechaliśmy",IV.  Liga.,IV.  Liga.,"tensor([[ 49761,  52478,    506,  25153,  85443,    261,   1153, 163681,    261,
          88716,   7277, 227983,   3545, 231624, 167575,    261,  24581,    285,
         159203, 111504,  61936,    473,    483,   1042,  55114,    669, 104602,
          20000,    336,  11884, 198612,    322, 123010,  37510, 179940,  66992,
            268,   1139, 135650,    265,  77588,    259,    264,  12671,    336,
          11884, 198612,    539,    485,  96828,  19927,      1]])","tensor([[ 7205,   260, 13799,   260,     1]])"
p.,"zespołu koordynującego wchodzili: p. Hanna Karbowska, p. Magdalena Lasowa-Niewelt, <mask> Łukasz Borucki. Od września 2016 roku do czerwca 2017 roku były realizowane różnorodne",pan,pan,"tensor([[   259,  62149,  20821, 142103,  38514,  78621,    414,  18986,    494,
            267,    421,    260,  82303,   4543,    316,  50727,    261,    421,
            260,    259, 105093,   4295,   4553,    264,  51759,  45493,    261,
           1042,  55114,    669,  27410, 112081,   9657,  48127,    266,    260,
           3770,  27408,  44850,    262,    654,   4351,    342,  40746,    750,
            598,   4351,    455,   4430,   6359,  15137,  19952, 144321,    405,
              1]])","tensor([[5242,    1]])"
w.,"wywiadzie dla „Newsweeka”, wyrażając dystans wobec wykrzywianych pojęć rodem z XIX <mask> Jego wypowiedź jest echem wcześniejszych protestów przeciw byciu wtłaczanym w zbiorowe",wieku,wiek,"tensor([[169311,    539,   5732,   2506,    565,  10989,  44874,    262,   1206,
          71533, 205641,   7730, 117127,    414,  36451,   1628, 186716,    266,
          66173,    485,  10108,   1209,  51284,    282,    397,    259,  25990,
           1042,  55114,    669,   4376,    268,   1628, 186851,  15732,   1402,
            259,    265,  22244,    414,  28007,    385,  13117,  21656,   1174,
          36414,    455,  15211,    414,    270,   4005,  58226,   5813,    414,
          94959,   3407,      1]])","tensor([[1968,  662,    1]])"
o.,"w niewinności, jaką symbolizuje biel. Krzyż jest potwierdzeniem tego poświęcenia – przekonuje <mask> Bruno Platter, wielki mistrz zakonu krzyżackiego, który podobnie jak przed wiekami",ojciec,ojciec,"tensor([[   414,    716,   4221,  14068,    261,   1801,    761, 111137,  40511,
          76756,    260,    412, 143192,   1402,  82698,  50505,    259,   4139,
            485, 109650, 149289,    322,  90718,   1466,   1042,  55114,    669,
            259,  42744, 171111,    286,    261,  40355,    266,    259,  73644,
          33206,    273,    408, 143192,    262,  87348,    261,    259,   1743,
            276,  23733,    634,   1801,  10723,   1968,   7159,      1]])","tensor([[   259,   1171, 153848,      1]])"
mln.,"prywatnych placówkach medycznych liczba zapisanych pacjentów oscyluje wokół 2,5 <mask> Wskaźniki rosną z roku na rok - w ostatnim roku liczba chorych korzystających z",miliona,milion,"tensor([[ 64518,   2765,  19831,   1174,  16267,    499,  57473,  40913,    835,
          50078,  66173,    421,  29956, 107507,    259,    337, 117681,   1466,
          75562,  17311,  14834,   1042,  55114,    669,    564,   1855,  36584,
            650,    259,   3720,   5103,    397,   4351,    294,   7276,    259,
            264,    414,  21752,    780,   4351,  40913,    835,    970,  92452,
            259,  32938,  80185,    397,      1]])","tensor([[10468,   262,     1]])"
s.,"in Poland, 1914-1920 (Cambridge and New York, NY: Cambridge University Press, 2018), <mask> 381.  Pisałem w recenzji do Najwyższego Czasu! i do mego ulubionego Glaukopisa,",strona,strona,"tensor([[   281,  30925,    261,  49690,    264,  63563,    274, 235145,    305,
           1361,   4011,    261,   4473,    267,  48163,   3934,   6237,    261,
            392,    506,   1042,  55114,    669, 113909,    260,  77436,  16032,
            414,  19158,    976,    342,   7339,  32259,   1796,    371, 169675,
            309,    259,    266,    342,   1202,    268,    259,  82201,    266,
          53906,  47147,  94696,   4617,    261,      1]])","tensor([[9693,  262,    1]])"
p.,"(Fundacja Pro - Prawo do Życia): Postanowiliśmy poważnie potraktować zaproszenie <mask> prezydenta, w szczególności wezwanie do jedności. Tak jak pisałem w moim liście,",pana,pan,"tensor([[   274, 159875,  12759,   1408,    259,    264,  65133,    268,    342,
          77132,   1729,   2032,   1139,  19327,  19927,    485, 151068,    485,
         125620,   6592, 147269,  78908,   1042,  55114,    669,    259, 111956,
            422,    261,    414,  20333,  31892, 163934,  54037,    342,    384,
         206540,    260,   3105,   1801,    259,  63457,    470,    414,   8702,
            282,    259, 119160,    261,      1]])","tensor([[10862,     1]])"
np. MPK.,"jednostki miejskie, przekształcono przedsiębiorstwa komunalne w spółki prawa handlowego, <mask> Za jego kadencji przystąpiono do dwóch ważnych inwestycji: Krakowskiego Szybkiego",na przykład MPK.,na przykład MPK.,"tensor([[ 85288,    650,    259, 170563,    634,    261,   3645,  73031,   3602,
         110168,    262,  32843,  42948,    414,    259,  35268,    650,    259,
          48601, 157599,   8704,    261,   1042,  55114,    669,   1515,    259,
          10778,   2067, 108217,   2890,  41495,   3602,    342,    331,  39574,
            697,    259,  20844,   2765,    259,  67838,    976,    267,  71419,
          44865,  95288,    316,  33842,      1]])","tensor([[  294,  2890,  8789,   352, 12713,   260,     1]])"
ś.,"17.30), Rudnik - Clavia Świątniki Górne (ś. 17.30), Mogilany - Iskra Głogoczów (<mask> 18), Tempo Rzeszotary - Topór Tenczyn (ś. 18).  Klasa A Olkusz: Wielmożanka - Prądnik",środa,środa,"tensor([[   259, 118582,    506,  29951,   2633,    259,    264, 171561,    539,
          30546,    761,    270,   9990,  61936,    405,    274,   3376,    260,
            259, 118582,    506,   2546, 104581,    276,    259,    264,   2485,
           9008, 219311,  18621, 220849,    274,   2709,  55114,    669,    812,
            506,  45646,    259, 213506,   1460,   3137,    259,    264,   2694,
           9354,   6175,  44397,    274,   3376,    260,    812,    483,  77013,
            262,    298,   7142,    662,   2781,    267,  84689,   4123,  14145,
            259,    264,   7672,  55330,   2633,      1]])","tensor([[21951,   262,     1]])"
o.,"filozofami, fizykami i specjalistami innych dziedzin, na temat naszych początków. Najpierw <mask> Michał wyjaśnia, o co tak naprawdę chodzi w dyskusji na temat ewolucji. Podaje bardzo",ojciec,ojciec,"tensor([[157807,   1708,    261,  20543,    276,   7159,    259,    266,    259,
         132624,   1708,    281,   2765,    259, 105018,    272,    261,    294,
          21334,    294,  13117,  24229,  38575,   1174,    260,   7339,  78386,
           1042,  55114,    669,   1784, 111613,   1628,  89918,    262,    261,
            259,    268,    964,    756,    259,  39238,  24203,    259,  18986,
            414,    259, 134503,    263,    976,    294,  21334,    259,    265,
         147684,   8463,    260,   1139,  20308,    330,   6838,      1]])","tensor([[   259,   1171, 153848,      1]])"
m.,"Halvor Egner Granerud - 126,5 m. Mamy liderów dwóch.  Markus Eisenbichler - 132 <mask> Niemiec jest 3.  Kamil Stoch - 117 metrów. 27. miejsce, z kwalifikacją do konkursu.",metry,metr,"tensor([[   447,  58984,    415, 114181,   9123, 139249,    259,    264,    644,
          52365,    326,    260,  15677,    276,  15729,   1174,    331,  39574,
            697,    260,    259,  76595, 101958,    316,   2623,   1137,    259,
            264,  29594,   1042,  55114,    669,    441, 164328,   1402,   1501,
          95083,    320,  24259,    259,    264,  28716,    824,  64058,    260,
           9364,   8401,    265,    261,    397,    259, 100897, 100238,    342,
          22024,    273,    260,      1]])","tensor([[   259, 160425,      1]])"
Płk.,oficjalnym powodem było kwestionowanie decyzji przełożonych i wypowiedzi dla mediów. <mask> Dusza relacjonował w TOK FM i krytykował wejście ludzi Macierewicza i SKW - w tym ówczesnego rzecznika,Pułkownik,pułkownik,"tensor([[ 98485,    462,  92006,    259,  26650,    470,    455,   4319,  39754,
           2746,   8748,    269,  41779,    976,   3645,  33865,  31380,    259,
            266,   1628,  97537,   2506,  28758,   1174,    260,   1042,  55114,
            669,    431, 113841,   5686,    297,   6183,  23126,    414,    259,
         112867,  18058,    259,    266,    259, 126771,    314,  23126,    414,
         114798,    265,    259,  38435,    266,    352,  95577, 144965,    262,
            259,    266,    320,  19954,    259,    264,    414,   4559,    259,
           1174,  66701,   1796,  58815,   5764,      1]])","tensor([[  4852, 224061,   2633,      1]])"
j.,"angielsku, powinni przestrzegać kilku zasad - radzi Andrzej Kowalczyk, nauczyciel <mask> angielskiego. 1. Najważniejsze jest osłuchanie - sama nauka słówek nie wystarczy,",języka,język,"tensor([[   740,  78598,    662,    261,    485, 117611, 116014,    318,   5129,
          16842,    273,  36899,    259,    264,    259, 193270,    259,  78805,
         179940,    280,  84357,    261,    259,  93988,   1042,  55114,    669,
            259,  92373,   1796,    260,   1025,   7339,  67462,    265,   1402,
            259,    268, 100395,   1145,    259,    264,   3038,    259, 212951,
            259,    263,  22575,    592,    716,    259,  76556,    276,    261,
              1]])","tensor([[  259, 35766,   479,     1]])"
